P,E,Q
0,3.481034483,0.252893873
0,3.39137931,0.252893873
0,3.429310345,0.177486467
0,3.427586207,0.183224176
0,3.320689655,0.187031928
0,3.306896552,0.187031928
0,3.182758621,0.187031928
0,3.451724138,0.224640003
0,3.429310345,0.20850487
0,3.4,0.179642454
0,3.536206897,0.179242553
0,3.427586207,0.179242553
0,3.322413793,0.179242553
0,3.343103448,0.179242553
0,3.448275862,0.189257464
0.01724138,3.581034483,0.189257464
0.037931034,3.670689655,0.197307643
0,3.629310345,0.182876436
0.418965518,3.413793103,0.182876436
0,3.5,0.183276337
0.006896552,3.617241379,0.21099121
0,3.668965517,0.220971347
0,3.813793103,0.240149204
0,3.770689655,0.25273739
0,3.718965517,0.239053823
0,3.760344828,0.212782071
0,3.532758621,0.214277353
0,3.484482759,0.226465638
0,3.587931034,0.188249018
0,3.594827586,0.20589682
0,3.681034483,0.226465638
0,3.55862069,0.196333972
0.022413792,3.670689655,0.186527705
0,3.682758621,0.183919656
0.067241381,3.694827586,0.1750349
0.570689659,3.717241379,0.179155618
0,3.846551724,0.189309625
0.005172414,3.803448276,0.193082603
0,3.812068966,0.192682702
0,3.944827586,0.191170033
0,4.124137931,0.182719953
0,4.336206897,0.193082603
0,4.229310345,0.207513811
0,4.175862069,0.235976325
0,4.143103448,0.220049836
0,4.205172414,0.218937068
0,4.374137931,0.192682702
0.091379312,4.172413793,0.193082603
0,4.194827586,0.206366269
0,4.243103448,0.193082603
0,4.4,0.206366269
0,4.525862069,0.203010578
0,4.415517241,0.190057266
0,4.501724138,0.176130281
0,4.6,0.176530182
0,4.486206897,0.174304646
0,4.537931034,0.171731371
0,4.556896552,0.167801909
0,4.786206897,0.167801909
0.4086207,4.5,0.169297191
0,4.506896552,0.175365253
0.986206899,4.612068966,0.158465092
0.199999995,4.360344828,0.152709996
0,4.536206897,0.152709996
0,4.786206897,0.143547048
0,4.737931034,0.143547048
0,4.60862069,0.148502342
0,4.818965517,0.163472547
0.005172414,4.875862069,0.177225662
0,4.712068966,0.173435296
0,4.610344828,0.089212682
0,4.725862069,0.158030417
0,5.020689655,0.156517748
0,5.144827586,0.111502813
0.394827594,4.972413793,0.118144645
1.772413802,4.836206897,0.133097463
0.275862065,4.877586207,0.105486912
0,4.993103448,0.109190342
0.010344828,4.989655172,0.131393537
0,5.144827586,0.126664274
0,5.315517241,0.141599705
0.865517248,5.327586207,0.150554008
0,5.194827586,0.142103928
0.003448276,5.122413793,0.112546032
0.027586207,5.336206897,0.141930058
0.172413793,5.068965517,0.13716602
0.12586207,5.236206897,0.125725376
0,5.14137931,0.125725376
0,5.30862069,0.124595221
0,5.686206897,0.123482454
0.344827582,5.913793103,0.132123791
0,5.85862069,0.123743259
0,6.072413793,0.102861475
0,6.072413793,0.10503485
0.187931033,5.994827586,0.106425809
0.046551725,5.615517241,0.10752119
0.056896551,5.529310345,0.114788955
0,5.446551724,0.128385587
0.184482766,5.713793103,0.116597203
0.608620686,5.85,0.116145141
1.634482744,5.681034483,0.11574524
0.660344824,5.310344828,0.111798392
1.450000005,5.255172414,0.089490874
0.712068958,5.556896552,0.085491865
3.600000022,5.618965517,0.109555469
0.446551729,5.543103448,0.091977215
7.272413794,5.625862069,0.098949401
2.736206908,5.875862069,0.093594206
0.487931034,4.951724138,0.114249958
2.903448257,5.136206897,0.094046267
8.787931065,5.355172414,0.097280249
1.684482755,5.563793103,0.098149599
0.24482758,5.446551724,0.097993116
1.053448283,6.015517241,0.172426851
0.193103448,5.934482759,0.054230044
0.968965519,5.827586207,0.055134168
1.270689642,5.470689655,0.066592199
1.106896557,5.713793103,0.085735283
0.372413785,5.524137931,0.085735283
2.096551733,5.275862069,0.085735283
0.081034484,5.112068966,0.088186849
0.47068966,4.912068966,0.058229053
0,5.363793103,0.214920671
0.129310345,5.951724138,0.047136149
2.034482754,6.112068966,0.083683617
1.701724131,5.705172414,0.132714949
0.146551726,6.336206897,0.048335852
0.310344827,6.151724138,0.109451147
0.979310347,5.968965517,0.04875314
1.462068971,5.582758621,0.093872397
2.212068973,5.665517241,0.050578775
3.944827582,5.484482759,0.07944119
1.244827584,5.512068966,0.07944119
3.52758619,5.375862069,0.050578775
1.501724157,5.422413793,0.07944119
5.374137959,5.213793103,0.078693549
2.536206916,4.793103448,0.083805326
1.03965517,5.410344828,0.112250453
0.687931037,5.453448276,0.112250453
0.103448277,5.487931034,0.077998069
7.498275868,5.59137931,0.14469459
1.646551718,5.684482759,0.201098009
1.349999985,5.787931034,0.159803891
1.506896557,5.39137931,0.172252981
1.034482765,5.787931034,0.175069674
